Cluster,Rank,Code,Description,Micro dept,Qty,Sales
0 - 1000,1,400100,DAIRY BEST MILK 500ML,UHT MILK FULL FAT,9819918,553153837
0 - 1000,2,440081,FRESH FRI OIL 5L,VEGETABLE OIL,208926,232204775
0 - 1000,3,730013,BEEF BOEREWORES PER PC,ROLLS PRE-PACKED,2420174,228579109
0 - 1000,4,350516,GILBEYS GIN 750ML,GIN,275260,226465859
0 - 1000,5,510160,SUGAR WHITE 2KG,WHITE SUGAR,794814,217244087
0 - 1000,6,675419,SUGAR 2 KG,WHITE SUGAR,667335,180111985
0 - 1000,7,510213,HOME BAKING FLOUR 2KG,ALL PURPOSE,847669,138920600
0 - 1000,8,770085,BUDGET BREAD WHITE(800GM),WHITE BREAD,1152496,128861138
0 - 1000,9,400033,GOLD CROWN FINO MILK 500ML TFA,UHT MILK FULL FAT,2367804,126170384
0 - 1000,10,565123,HOME BAKING FLOUR 2KG,ALL PURPOSE,920397,126002445
0 - 1000,11,440097,RINA VEGETABLE OIL 5L,VEGETABLE OIL,109876,124695607
0 - 1000,12,510161,SUGAR WHITE 1KG,WHITE SUGAR,881393,120957894
0 - 1000,13,470108,BASMATI 5KG,BASMATI RICE,80624,112943382
0 - 1000,14,675711,PREMIUM MAIZE MEAL 2 KG,PREMIUM,521004,104387912
0 - 1000,15,600066,MENENGAI CREAM BAR SOAP 1KG,SOAP BAR,542345,98703199
0 - 1000,16,510009,SOKO MAIZE FLOUR 2KG,NON PREMIUM,607468,95445312
0 - 1000,17,401009,MAZIWA BORA UHT FINO 500ML,UHT MILK FULL FAT,1945948,95004286
0 - 1000,18,760072,ON BONE PER KG,MEAT ON BONE,118862,88738828
0 - 1000,19,675445,SUGAR 1 KG,WHITE SUGAR,633957,85893815
0 - 1000,20,760160,CAPON FRESH PER KG,WHOLE CAPON,158773,82460884
0 - 1000,21,405007,KENYA MILK ESL 90DYS 500ML,UHT MILK FULL FAT,1392396,77971025
0 - 1000,22,400148,MAISHA LONG LIFE MILK 500ML,UHT MILK FULL FAT,1364419,76006463
0 - 1000,23,440050,FRESH FRI OIL 2L,VEGETABLE OIL,146065,73178558
0 - 1000,24,686100,CHOICE ESL MILK 500ML,UHT MILK FULL FAT,1482918,70154682
0 - 1000,25,760071,MINCED MEAT PER KG,MINCED MEAT,89376,70086025
0 - 1000,26,440110,GOLDEN FRY COOKING OIL 5L,VEGETABLE OIL,62534,68523414
0 - 1000,27,780004,PACKED RED SEEDLESS GRAPES(500GM),GRAPES,183545,66769929
0 - 1000,28,510950,PREM FRTFD SIFTED MAIZE MEAL 2KG,PREMIUM,415189,64885463
0 - 1000,29,440042,FRESH FRI OIL 3L,VEGETABLE OIL,82736,63418366
0 - 1000,30,440198,AVENA VEG OIL 5L,VEGETABLE OIL,57375,61091464
0 - 1000,31,510037,ALL PURPOSE FLOUR 2KG,ALL PURPOSE,395710,61012984
0 - 1000,32,760052,STEAK PER KG,STEAK,57724,60108295
0 - 1000,33,370440,FANTA BLACKCURRANT 2L,CSD,430438,59751232
0 - 1000,34,510039,MAIZE MEAL 2KG,NON PREMIUM,395967,59106925
0 - 1000,35,370205,COCACOLA 2L,CSD,381439,57631754
0 - 1000,36,350631,RARE J&B WHISKY 1 LTR,WHISKY,47055,57235231
0 - 1000,37,400034,FINO WHOLE MILK 500ML GREEN TFA,UHT MILK FULL FAT,1102618,56818152
0 - 1000,38,510367,SIFTED MAIZE FLOUR 2KG,NON PREMIUM,379752,56539229
0 - 1000,39,770086,BUDGET BREAD BROWN(800GM),BROWN BREAD,499259,55887052
0 - 1000,40,480074,BEEF SAUSAGE SAFARI 500G,BEEF SAUSAGES,170654,55568924
0 - 1000,41,700067,MILK BREAD 800GMS,WHITE BREAD,426270,55415100
0 - 1000,42,400065,SIDE ILARA POUCH 500ML,FULL FAT,996635,55147300
0 - 1000,43,470044,CIL PISHORI RICE 5KG,PISHORI RICE,39042,54609222
0 - 1000,44,700101,MILKY WHITE 600GMS,WHITE BREAD,533071,53307103
0 - 1000,45,490009,INDOMIE CHICKEN FLAVOUR 5IN1 70G,INSTANT NOODLES SACHETS,458701,53203540
0 - 1000,46,450044,BLUE BAND ORIGINAL OMEGA3&6 500G,FATS SPREAD,223686,52911276
0 - 1000,47,480158,BEEF SAUSAGES 1KG CATERING,BEEF SAUSAGES,89700,52039299
0 - 1000,48,440106,GOLDEN FRY COOKING OIL 3L,VEGETABLE OIL,74022,51603845
0 - 1000,49,661047,NON WOVEN PLAIN BAG V25 70GSM,BRANDED SHOPPING BAGS,2924325,50419731
0 - 1000,50,370442,FANTA PASSION 2L PET,CSD,360068,49959822
0 - 1000,51,370210,FANTA ORANGE 2L,CSD,351352,48584251
0 - 1000,52,380017,REFILL WATER 18.9L,MINERAL WATER,92628,48312233
0 - 1000,53,770075,BUDGET BREAD WHITE(600GM),WHITE BREAD,569162,48309238
0 - 1000,54,351215,BEST GIN 750ML,GIN,76133,48224648
0 - 1000,55,450226,BLUE BAND ORIGINAL OMEGA 3&6 1KG,FATS SPREAD,111176,48214237
0 - 1000,56,652191,PREMIUM BLENDED PISHORI RICE 5KG,PISHORI RICE,51950,48163798
0 - 1000,57,480080,VALUE PACK BEEF SAUSAGES 1KG,BEEF SAUSAGES,71133,47127742
0 - 1000,58,770037,PACKED SWEET MANDAZI(200GM),FRESH DEEP FRIED,1097491,46426362
0 - 1000,59,730003,BEEF SAMOSA PLAINorCHILI PERPC,OTHER FRIED PRODUCTS,1090849,46268024
0 - 1000,60,350498,WHITE CAP CAN 500ML,CANNED LAGER,233549,44944094
0 - 1000,61,760247,BREAST BONELESS PER KG,BONES,54316,43828811
0 - 1000,62,675054,D LAMINATED BAG FRESH&EASY,BRANDED SHOPPING BAGS,994953,42880922
0 - 1000,63,440111,GOLDEN FRY COOKING OIL 2L,VEGETABLE OIL,89509,42829917
0 - 1000,64,480065,BEEF SMOKIE LABLESS KG,BEEF SMOKIES,87410,42644050
0 - 1000,65,600011,MENENGAI CREAM BAR SOAP 800G,SOAP BAR,285004,42352692
0 - 1000,66,440096,RINA VEGETABLE OIL 3L,VEGETABLE OIL,55762,41931185
0 - 1000,67,987067,SIDE SWEETENED LALA BOTTLE 1L,FLAVOR,271723,41929807
0 - 1000,68,510208,AMAIZE FLOUR 2KG,PREMIUM,214939,41873248
0 - 1000,69,510109,CHOICE SUGAR 2KG,WHITE SUGAR,147138,41495465
0 - 1000,70,775447,PACKED MINI QUEENCAKES(6PC),QUEEN CAKES,329659,41034429
0 - 1000,71,350117,TUSKER CAN 500ML,CANNED LAGER,232424,40720256
0 - 1000,72,400078,WHOLE MILK POUCH 500ML,FULL FAT,698878,40530728
0 - 1000,73,401084,SIDE TUZO ESL 450ML,UHT MILK FULL FAT,878725,40214382
0 - 1000,74,760224,BLADE ON BONE PER KG,BLADE ON BONE,47995,39597771
0 - 1000,75,536471,TIARA TOILET PAPER - TEN PACK,VIRGIN,146527,39328172
0 - 1000,76,420366,ROYCO BEEF CUBE 4G X40CUBES,MCHUZI MIX & CUBES,324619,39178452
0 - 1000,77,730007,BEEF SAUSAGE PER PC,FRIED SAUSAGES,944530,38034169
0 - 1000,78,350126,GUINNESS CAN 500ML,CANNED LAGER,195735,37653415
0 - 1000,79,525771,GUNIA BAG # 30,NON-BRANDED SHOPPING BAGS,1450274,37507349
0 - 1000,80,770073,BUDGET BREAD WHITE(400GM),WHITE BREAD,688812,37255997
0 - 1000,81,677846,PETALS TOILET TISSUE TEN PACK,VIRGIN,136547,37137535
0 - 1000,82,510021,DOLA MAIZE MEAL 2KG,NON PREMIUM,250893,36966269
0 - 1000,83,730094,ORIENTAL CHICKEN WINGS PER KG,FRIED CHICKEN,26503,36660521
0 - 1000,84,470026,BASMATI RICE 2KG,BASMATI RICE,54973,35365378
0 - 1000,85,370072,RED BULL ENERGY DRINK 250ML,CAN,194161,34707765
0 - 1000,86,679672,ESL BORA MILK 450ML,FULL FAT,808584,34690132
0 - 1000,87,403973,YUMMY EGGS 30PACK,30 PACK,57974,34583579
0 - 1000,88,440025,RINA VEGETABLE OIL 2LTRS,VEGETABLE OIL,68256,34298072
0 - 1000,89,510004,MAIZE FLOUR 2KG,NON PREMIUM,235830,34214174
0 - 1000,90,510269,DOLA ALL PURPOSE FLOUR 2KG,ALL PURPOSE,242929,34096886
0 - 1000,91,730014,PUMPKIN CHAPATI PER PC,STARCH,1163371,34001477
0 - 1000,92,370572,MINUTE MAID DELIGHT APPLE 1L BTL,PET,262094,33849734
0 - 1000,93,601522,ZENTA SOAP CREAM 1KG,SOAP BAR,217586,33557576
0 - 1000,94,565275,MSAFI PURPLE DET 1KG SACHETS-LAV,HAND WASH POWDER,196000,33449088
0 - 1000,95,525650,ICE P/APPLE PUNCH 330ML,WHISKY,207023,33350452
0 - 1000,96,413759,MD QUILTED MATT 74x60x8,FOAM,6354,33244149
0 - 1000,97,760033,CHICKEN CAPON(1.0-1.3KG)PERKG,WHOLE CAPON,60073,33128256
0 - 1000,98,760077,LEG PER KG,CUTS,31430,33066450
0 - 1000,99,700006,ENGLISH MUFFINS 6S 300G,MUFFINS,275397,32762894
0 - 1000,100,987066,SIDE NATURAL LALA BOTTLE 1L,PLAIN,224637,32340070
0 - 1000,101,400334,LONG LIFE 250ML,UHT MILK FULL FAT,1077016,32310504
0 - 1000,102,480079,VALUE PACK PORK SAUSAGES 1KG,PORK SAUSAGES,50875,32076991
0 - 1000,103,400004,SIDE TUZO WHOLE FINO MILK 500ML,UHT MILK FULL FAT,545377,32062255
0 - 1000,104,770077,BUDGET BREAD BROWN(600GM),BROWN BREAD,371904,31671884
0 - 1000,105,350844,CAPTAIN MORGAN GOLD 750ML,RUM,35437,31615576
0 - 1000,106,513000,KG WHEAT FLOUR,ALL PURPOSE,236610,30858812
0 - 1000,107,610110,TENA TISSUE WHITE 10S UNWRAPPED,VIRGIN,77577,30535915
0 - 1000,108,401078,WHOLE FRESH MILK 2L,FULL FAT,95207,30510595
0 - 1000,109,610053,HANAN TOILET ROLLS 10PK,VIRGIN,66577,30211536
0 - 1000,110,370213,SPRITE 2L,CSD,215482,30009950
0 - 1000,111,440168,RINSUN SUNFLOWER 5LTRS,SUNFLOWER OIL,21043,29296331
0 - 1000,112,350247,SMIRNOFF DOUBLE BLACK330ml,VODKA,183421,29143171
0 - 1000,113,730077,CHICKEN CHINESE RICE PER KG,STARCH,48151,28798012
0 - 1000,114,410455,CADBURY DREAM WHITE CHOC 80G,WHITE,130254,28789806
0 - 1000,115,600657,JAMAA CREAM BAR SOAP 1KG,SOAP BAR,172599,28773805
0 - 1000,116,480091,BEEF SMOKIES 400G EXLONG,BEEF SMOKIES,108137,28445651
0 - 1000,117,770025,VANILLA CAKE PER KG,WHOLE CAKES,35629,28355974
0 - 1000,118,380008,QUENCHER LIFE WATER 18L,PURIFIED WATER,63257,28325019
0 - 1000,119,510002,MAIZE FLOUR 2KG,NON PREMIUM,180411,28242851
0 - 1000,120,730055,ROAST CHICKEN PER KG,ROASTED CHICKEN,26598,28040035
0 - 1000,121,730045,PILAU RICE PER KG,STARCH,41205,28009544
0 - 1000,122,370814,MINUTE MAID DELIGHT APPLE 400ML,PET,405411,27959383
0 - 1000,123,780397,PACKED IMPORTED RED GRAPES(500GM),GRAPES,78602,27800978
0 - 1000,124,480087,CLASSIC PORK SAUSAGE 500G,PORK SAUSAGES,86207,27658308
0 - 1000,125,760024,BONE STEAK/RIB EYE ON BONE PER KG,STEAK,34174,27558532
0 - 1000,126,470066,CIL AROMATIC PISHORI RICE 2KG,PISHORI RICE,45932,27191586
0 - 1000,127,510110,CHOICE SUGAR 1KG,WHITE SUGAR,190535,26864922
0 - 1000,128,700001,LOAF PREMIUM WHITE CT 800G,WHITE BREAD,204399,26571870
0 - 1000,129,320881,D FRDGE DF 138L MRDCD138DS/75SBR,DOUBLE DOOR FRIDGE,1056,26541990
0 - 1000,130,567134,BULK PASTU FRESH MILK PER LTR,FRESH MILK,354100,26524722
0 - 1000,131,400695,WHOLE MILK PASTURIZED 5L,FULL FAT,51857,25923400
0 - 1000,132,370223,COCA-COLA SODA 500ML PET,CSD,440565,25863314
0 - 1000,133,403974,YUMMY EGGS 15PACK,15 PACK,73008,25283789
0 - 1000,134,649054,ALMA L SOF 7STR WT C/HLDR (3+2+1+1,SOFAS,274,25105536
0 - 1000,135,610085,ROSY WHITE 10 PACK UNWRAPPED,BLENDED,97695,25047093
0 - 1000,136,545937,PROB. F/C.YOG.VAN 450G,PROBIOTIC YOGHURT,182672,24723771
0 - 1000,137,510045,HOME BAKING FLOUR 2KG,ALL PURPOSE,161972,24389060
0 - 1000,138,600068,IMPERIAL CLASSIC 150G 2+1,SOAP FAMILY,96623,24192510
0 - 1000,139,700009,WHITE CT 600G,WHITE BREAD,239813,23981300
0 - 1000,140,661186,NON WOVEN PLAIN BAG V22 70GSM,BRANDED SHOPPING BAGS,1852382,23953246
