Source ID,Name,Reason,Notes
251,TEST TEST02,placeholder,"Name ""TEST TEST02"" is a test or placeholder entry"
1769,ATTAR MIX,assorted-no-size,"Name ""ATTAR MIX"" is an assorted/mix product with no defined size — individual unit quantity unknown"
2000,BABY BABY SOFT L/C L,slash-variant,"Name ""BABY BABY SOFT L/C L"" lists multiple variants (slash-separated); create separate SKUs per variant"
1655,BABY JOY NO2 S/S,slash-variant,"Name ""BABY JOY NO2 S/S"" lists multiple variants (slash-separated); create separate SKUs per variant"
2133,BLACK PAPEPPER Z/ZIBAR 100G,slash-variant,"Name ""BLACK PAPEPPER Z/ZIBAR 100G"" lists multiple variants (slash-separated); create separate SKUs per variant"
1867,BLACK SEED OIL SMALL/S,slash-variant,"Name ""BLACK SEED OIL SMALL/S"" lists multiple variants (slash-separated); create separate SKUs per variant"
1866,BLACKSEED OIL BIG/S,slash-variant,"Name ""BLACKSEED OIL BIG/S"" lists multiple variants (slash-separated); create separate SKUs per variant"
2132,CARDAMOM Z/ZIBZR 100G,slash-variant,"Name ""CARDAMOM Z/ZIBZR 100G"" lists multiple variants (slash-separated); create separate SKUs per variant"
231,CREAM/LOLOPOP 16*50pcs,slash-variant,"Name ""CREAM/LOLOPOP 16*50pcs"" lists multiple variants (slash-separated); create separate SKUs per variant"
1620,DHAGA YARE/KARAFU,slash-variant,"Name ""DHAGA YARE/KARAFU"" lists multiple variants (slash-separated); create separate SKUs per variant"
2527,"""DOUBLE ACTION T/BRUSH",slash-variant,"Name """"DOUBLE ACTION T/BRUSH"" lists multiple variants (slash-separated); create separate SKUs per variant"
2089,EASY CLEAN S/WOOL 15G,slash-variant,"Name ""EASY CLEAN S/WOOL 15G"" lists multiple variants (slash-separated); create separate SKUs per variant"
1801,EVEREADY D/S BLUE 12*2,slash-variant,"Name ""EVEREADY D/S BLUE 12*2"" lists multiple variants (slash-separated); create separate SKUs per variant"
1802,EVEREADY D/S RED 12*2,slash-variant,"Name ""EVEREADY D/S RED 12*2"" lists multiple variants (slash-separated); create separate SKUs per variant"
