DB Name,Category,Correct Product Name,Base Unit,Base Cost,Base Sell,Base Stock,Barcode,VAT %,L1 Pack Name,L1 Qty in Base,L1 Cost,L1 Sell,L2 Pack Name,L2 Qty in L1,L2 Cost,L2 Sell
251,,TEST TEST02,KG,1,1,1,10001078,0,,,,,,,,
1421,,DRINKING2IN1 CHOCOLATE 90G,PCS,62.5,50,0,1556421,0,CTN,48,3000,3200,,,,
873,,EXECETIVE TOMATO 4* 5LIT,EA,230,250,0,1555873,0,BAL,4,920,950,,,,
1399,,KANGORE BRIYANI RICE,KG,84,100,0,1556399,0,BAG,25,2100,2200,,,,
2155,,5 TEA 100*10*100G,PCS,32,40,0,1557155,0,OUT,10,320,350,CTN,10,3200,3300
2158,,5 TEA 200*20*50G,PCS,5.4313725490196,6,0,1557158,0,OUT,30,162.941176470588,180,CTN,20,3258.82352941176,3300
2233,,5 TEA 250G,PCS,87.5,200,0,1557233,0,OUT,4,350,800,,,,
2156,,5 TEA 250G,PCS,80,100,0,1557156,0,CTN,40,3200,3300,,,,
2154,,5 TEA 500G,PCS,160,180,0,1557154,0,CTN,20,3200,3300,,,,
2235,,5 tea 50g ginger,PCS,11.666666666666666,13.333333333333334,0,1557235,0,OUT,30,350,400,CTN,20,7000,8000
2236,,5 tea ginger 100grm,PCS,23.333333333333332,26.666666666666668,0,1557236,16,OUT,30,700,800,CTN,20,14000,16000
2715,,5TEA  50G* 20PACKTS* 10,PCS,5.5,7,0,1557715,0,OUT,30,165,210,CTN,20,3300,3400
2716,,5TEA 500G TANGAWIZI,PCS,170,200,0,1557716,0,CTN,20,3400,3500,,,,
120,,AARAN 2.5KG,PCS,1433.33333142857,1550,0,10000666,0,CTN,6,8599.99998857142,8700,,,,
1673,,ABU SULTAN GREEN,PCS,22.9166667362561,30,0,1556673,0,CTN,48,1100.00000334029,1200,,,,
1921,,ABU WALAD BUISCIT,PCS,26.0416666673886,30,0,1556921,0,DOZ,12,312.500000008663,340,CTN,4,1250.00000003465,1350
1565,,ACTION,EA,302.499970133333,350,0,1556565,0,,,,,,,,
1918,,ACTOL,PCS,11.5,13.333333333333334,0,1556918,0,OUT,30,345,400,CTN,20,6900,8000
122,,ADMIRAL 2.5 KG,PCS,1566.66666666667,1600,0,10001006,16,CTN,6,9400,9500,,,,
123,,ADMIRAL MILK 900 GR,PCS,583.333333333333,650,0,10000828,0,CTN,12,7000,7200,,,,
2464,,ADULT DIAPERS LARGE,EA,550,600,0,1557464,0,,,,,,,,
2465,,ADULT DIAPERS MEDIUM,EA,550,600,0,1557465,0,,,,,,,,
1635,,AFIA 300ML,EA,460,480,0,1556635,0,,,,,,,,
1634,,AFIA 500ML,EA,650,670,0,1556634,0,,,,,,,,
2043,,AFIA 500ML ORAGE\COLA\BLACK,PCS,14.333333333333334,16.666666666666668,0,1557043,0,CTN,30,430,500,CTN,20,8600,10000
2600,,"""AFNAN MAKORONI 20*500G.",PCS,0,0,0,1557600,0,PCS,1,0,0,,,,
2268,,AFRIN NOODLES,PCS,10,13.333333333333334,0,1557268,0,CTN,30,300,400,CTN,20,6000,8000
2498,,AFROCARE BODY CREAM 200G,PCS,125,170,0,1557498,0,EA,6,750,850,,,,
2569,,AG MAYONNAISE 160Z,PCS,131.58,170,0,1557569,0,CTN,12,1578.96,2040,,,,
2568,,"""AG MAYONNAISE 80Z",PCS,0,0,0,1557568,0,PCS,1,0,0,,,,
2566,,"""AG TOMATO KETCHUP TOP DOWN 340G",PCS,0,0,0,1557566,0,PCS,1,0,0,,,,
2565,,AG YELLOW MUSTARD 80Z,PCS,125,150,0,1557565,0,CTN,12,1500,1450,,,,
2564,,AG YELLOW MUSTARD80Z,PCS,127.166666666667,150,0,1557564,0,CTN,12,1526,1600,,,,
1506,,AHLAN 8*5 KG,PCS,687.5,750,0,1556506,0,BAG,8,5500,5700,,,,
2648,,AHLAN OLIVE OIL 1LT,PCS,375,500,0,1557648,0,CTN,12,4500,4600,,,,
2649,,AHLAN OLIVE OLI 500GR,PCS,208.333333333333,250,0,1557649,0,CTN,12,2500,2600,,,,
1838,,AHLAN RICE,KG,128,140,0,1556838,0,BAG,25,3200,3300,,,,
131,,AHLAN RICE  4*10KG,PCS,1375,1500,0,10001025,0,BAG,4,5500,5800,,,,
