Rank,Store,Store Total Cost (KES),SKU,Item,Category,Unit,Price (KES)
1,Mina Spices ltd,36250.00,almond,Almond,Nuts,kg,2400.00
1,Mina Spices ltd,36250.00,ashwagandha,Ashwagandha,Spices,kg,550.00
1,Mina Spices ltd,36250.00,beef-masala,Beef Masala,Spices,kg,600.00
1,Mina Spices ltd,36250.00,black-pepper,Black Pepper,Spices,kg,1200.00
1,Mina Spices ltd,36250.00,black-seed,Black Seed,Spices,kg,800.00
1,Mina Spices ltd,36250.00,black-seed-oil-1l,Black Seed Oil 1L,Spices,1l,3400.00
1,Mina Spices ltd,36250.00,black-seed-oil-500ml,Black Seed Oil 500ml,Spices,500ml,1700.00
1,Mina Spices ltd,36250.00,black-seed-organic-60ml,Black Seed Organic 60ml,Spices,60ml,250.00
1,Mina Spices ltd,36250.00,cardamom-green,Cardamom (Green),Spices,kg,3500.00
1,Mina Spices ltd,36250.00,cardamom-white,Cardamom (White),Spices,kg,2000.00
1,Mina Spices ltd,36250.00,cashew,Cashew,Nuts,kg,1200.00
1,Mina Spices ltd,36250.00,cayenne-pepper,Cayenne Pepper,Spices,kg,400.00
1,Mina Spices ltd,36250.00,chicken-masala,Chicken Masala,Spices,kg,600.00
1,Mina Spices ltd,36250.00,chilli-powder,Chilli Powder,Spices,kg,400.00
1,Mina Spices ltd,36250.00,cinnamon,Cinnamon,Spices,kg,600.00
1,Mina Spices ltd,36250.00,coconut-powder,Coconut Powder,Spices,kg,550.00
1,Mina Spices ltd,36250.00,coffee-powder,Coffee Powder,Spices,kg,1300.00
1,Mina Spices ltd,36250.00,coriander,Coriander,Spices,kg,400.00
1,Mina Spices ltd,36250.00,curry-powder,Curry Powder,Spices,kg,600.00
1,Mina Spices ltd,36250.00,fennel,Fennel,Spices,kg,500.00
1,Mina Spices ltd,36250.00,fennel-powder,Fennel Powder,Spices,kg,750.00
1,Mina Spices ltd,36250.00,fenugreek,Fenugreek,Spices,kg,400.00
1,Mina Spices ltd,36250.00,garlic-powder,Garlic Powder,Spices,kg,600.00
1,Mina Spices ltd,36250.00,ginger-powder,Ginger Powder,Spices,kg,600.00
1,Mina Spices ltd,36250.00,henna,Henna,Spices,kg,600.00
1,Mina Spices ltd,36250.00,hibiscus,Hibiscus,Spices,kg,700.00
1,Mina Spices ltd,36250.00,macadamia,Macadamia,Nuts,kg,800.00
1,Mina Spices ltd,36250.00,moringa,Moringa,Spices,kg,800.00
1,Mina Spices ltd,36250.00,moringa-powder,Moringa Powder,Spices,kg,550.00
1,Mina Spices ltd,36250.00,nutmeg,Nutmeg,Spices,kg,1400.00
1,Mina Spices ltd,36250.00,onion-powder,Onion Powder,Spices,kg,600.00
1,Mina Spices ltd,36250.00,peppermint-powder,Peppermint Powder,Spices,kg,550.00
1,Mina Spices ltd,36250.00,pumpkin-seed-roasted,Pumpkin Seed Roasted,Nuts,kg,1200.00
1,Mina Spices ltd,36250.00,rosemary,Rosemary,Spices,kg,400.00
1,Mina Spices ltd,36250.00,rosemary-powder,Rosemary Powder,Spices,kg,450.00
1,Mina Spices ltd,36250.00,sea-moss,Sea Moss,Spices,kg,1200.00
1,Mina Spices ltd,36250.00,sunflower,Sunflower,Nuts,kg,800.00
1,Mina Spices ltd,36250.00,turmeric-ethiopia,Turmeric (Ethiopia),Spices,kg,200.00
1,Mina Spices ltd,36250.00,turmeric-india,Turmeric (India),Spices,kg,700.00
