🔵 DB Name (A),🟢 Category (B),🟡 Correct Product Name (C),🟡 Brand (D),🟢 VAT% (E),🟢 Base Unit (F),🟢 Base Cost KES (G),🟢 Base Sell KES (H),🟢 Base Stock (I),🟡 Barcode (J),🟢 L1 Pack Name (K),🟠 L1 Qty in Base (L),🟢 L1 Cost KES (M),🟢 L1 Sell KES (N),🟢 L1 Stock (O),🟢 L2 Pack Name (P),🟠 L2 Qty in L1 (Q),🟢 L2 Cost KES (R),🟢 L2 Sell KES (S),🟢 L2 Stock (T),🟡 Reorder Point (U),🟡 Lead Time Days (V),System Notes (W — do not edit)
DO NOT EDIT — system key,Correct if wrong,FILL IN — standard market name,FILL IN — e.g. Unilever,Confirm,Confirm unit type,Confirm KES,Confirm KES,Units in stock,FILL IN if known,"e.g. Outer, Box, Pack",FILL — how many base units?,KES,KES,L1 stock,"e.g. Carton, Bag, Bale",FILL — how many L1 per L2?,KES,KES,L2 stock,Optional — base units,Optional — days,Auto-generated hints
277 XXL CHOCO 6*24,Snacks - Chocolate,,,16,Piece,750,1000,42,,,,,,,Carton,,4500,6500,7,,,
99 CHOCOLATTE 6*24,Beverages - Soda,,,16,Box,467,583,0,,Box,,467,583,0,Carton,,2800,3500,0,,,
9PM PARFUM,Other - General Merchandise,,,16,Piece,1100,2000,1,,,,,,,,,,,,,,
A C M,Other - General Merchandise,,,0,Piece,3150,3250,0,,,,,,,Carton,,18900,25000,0,,,
A T M 2.5,Staples - Flour & Ugali,,,16,Piece,2000,3000,0,,,,,,,Carton,,12000,14000,0,,,
ABABIL RICE 25KG-SB3,Staples - Rice,,,0,Bag,3290,4500,0,,,,,,,Bag,,3290,4500,0,,,
Abraar Long Grain Rice 10Kg,Staples - Rice,,,0,Piece,1625,1750,0,,,,,,,Bag,,6500,7000,0,,,
Abraar Long Grain Rice 25Kg,Staples - Rice,,,0,Kilogram,140,180,0,,,,,,,Bag,,3505,4500,0,,,
ABSUL PERFUME,Personal Care - Perfume,,,16,Piece,1100,1500,1,,,,,,,,,,,,,,
ABU WALAD BISC 8*30G,Snacks - Biscuits & Cookies,,,16,Carton,1600,2000,0,,Outer,8,200,250,0,Carton,,1600,2000,0,,,"Name contains ""8*30G"" — suggests 8 units per pack — pre-filled as L1 qty"
ABU WALAD BISC STT,Snacks - Biscuits & Cookies,,,16,Piece,45,50,394,,Dozen (12),,538,600,32.8,Carton,,2150,2300,8.2,,,
ABU WALAD BISCUT 48 STT,Snacks - Biscuits & Cookies,,,16,Carton,1600,1700,0,,,,,,,Carton,,1600,1700,0,,,
Ace Bathroom Cleaner 500ML,Cooking Oil,,,16,Piece,308,400,0,,,,,,,,,,,,,,
ACTA YEAST 450,Bakery - Ingredients,,,16,Piece,210,250,328,,,,,,,Carton,,4200,4800,16.4,,,
Afia Apple Fruit Drink 300Ml,Beverages - Juice & Drinks,,,16,Box,600,650,0,,Box,,600,650,0,,,,,,,,
Afia Apple Fruit Drink 500Ml,Beverages - Juice & Drinks,,,16,Carton,750,850,0,,,,,,,Carton,,750,850,0,,,
AFIA ENERGY 12*380ML,Beverages - Juice & Drinks,,,16,Carton,500,600,0,,,,,,,Carton,12,500,600,0,,,"Name contains ""12*380ML"" — suggests 12 units per pack — pre-filled as L2 qty"
AFIYAH HABATU SOWDA 30ML,Incense & Fragrance,,,16,Outer,1100,1200,0,,Outer,,1100,1200,0,,,,,,,,
Afnan Long Grain Rice,Staples - Rice,,,16,Kilogram (1kg),120,120,0,,,,,,,,,,,,,,
AFNAN M BIG -STT,Staples - Pasta & Noodles,,,16,Piece,60,100,0,,,,,,,Carton,,1200,1200,0,,,
AFNAN M CIDI-STT,Staples - Pasta & Noodles,,,16,Carton,1150,1200,0,,,,,,,Carton,,1150,1200,0,,,
AFNAN M SMOLL-STT,Staples - Pasta & Noodles,,,16,Kilogram (0.5kg),55,60,0,,,,,,,Carton,,1100,1200,0,,,
AFNAN SP-STT,Baby Care - Infant Formula,,,16,Carton,900,1200,0,,,,,,,Carton,,900,1200,0,,,
Afro Candy 50 Pieces,Snacks - Candy & Sweets,,,16,Piece,120,312,3,,,,,,,Carton,50,2400,5000,0.2,,,"Name contains ""50 Pieces"" — suggests 50 units per pack — pre-filled as L2 qty"
AHLAM AL ARAB AIR FRESH,Household - Air Freshener,,,16,Piece,240,300,139,,,,,,,,,,,,,,
AHLAM PARFUM,Other - General Merchandise,,,16,Piece,900,1500,0,,,,,,,,,,,,,,
AHLAM UNSI,Incense & Fragrance,,,16,Piece,130,200,1,,,,,,,,,,,,,,
Ahlan Long Grain Rice 10Kg,Staples - Rice,,,16,Kilogram (10kg),1625,1750,48,,,,,,,Bag,,6500,7000,12,,,
Ahlan Long Grain Rice 25Kg,Staples - Rice,,,16,Kilogram (1kg),156,142,602.2,,,,,,,Bag,,3900,3550,24.1,,,
AICE JUICE 6*2.5KG,Beverages - Juice & Drinks,,,16,Piece,817,1000,0,,,,,,,Carton,6,4900,5500,0,,,"Name contains ""6*2.5KG"" — suggests 6 units per pack — pre-filled as L2 qty"
AIR FRESH-ELAGANT STT,Household - Air Freshener,,,16,Piece,147,200,16,,,,,,,Carton,,10600,10800,0.2,,,
AISHA BASMATI 25KG SB3,Staples - Rice,,,0,Bag,3050,3500,0,,,,,,,Bag,,3050,3500,0,,,
AISHA BASMATI 25KG STT,Staples - Rice,,,0,Kilogram,130,200,10,,,,,,,Bag,,3250,3500,0.4,,,
AJAB 24*1KG  SB3,Staples - Flour & Ugali,,,0,Bale,1980,2500,61.5,,,,,,,Bale,24,1980,2500,61.5,,,"Name contains ""24*1KG"" — suggests 24 units per pack — pre-filled as L2 qty"
AJAB 24*1KG STT,Staples - Flour & Ugali,,,0,Kilogram (1kg),82,102,752,,,,,,,Bale,24,1980,2450,31.3,,,"Name contains ""24*1KG"" — suggests 24 units per pack — pre-filled as L2 qty"
AJAB 24*500G SB3,Staples - Flour & Ugali,,,0,Bale,990,1350,187,,,,,,,Bale,24,990,1350,187,,,"Name contains ""24*500G"" — suggests 24 units per pack — pre-filled as L2 qty"
AJAB 500 STT,Staples - Flour & Ugali,,,0,Bag,990,1350,25,,,,,,,Bag,,990,1350,25,,,
Ajab All Purpose Flour 2kg,Staples - Flour & Ugali,,,0,Piece,163,292,122,,,,,,,Bale,,1950,3500,10.2,,,
AJAB RICE 25 KG,Staples - Rice,,,16,Kilogram (1kg),140,144,0,,,,,,,Bag,,3500,3600,0,,,
AJEX  COLUAR 4*5L,Cleaning - Bleach & Disinfectant,,,16,Piece,350,500,0,,,,,,,,,,,,,,
AJEX COLUAR4*5LTR-STT,Cleaning - Bleach & Disinfectant,,,16,Carton,1400,1500,0,,,,,,,Carton,4,1400,1500,0,,,"Name contains ""4*5L"" — suggests 4 units per pack — pre-filled as L2 qty"
Akram Pure Vegetable Cooking Oil 10L,Cooking Oil,,,16,Jerry Can,2280,2500,0,,,,,,,Jerry Can,,2280,2500,0,,,
Akram Pure Vegetable Cooking Oil 20L,Cooking Oil,,,16,Jerry Can,4600,4850,0,,,,,,,Jerry Can,,4600,4850,0,,,
Al Amal Long Grain Rice 25Kg,Staples - Rice,,,0,Kilogram,125,180,0,,,,,,,Bag,,3180,4500,0,,,
